subscription_id,customer_id,plan_id,billing_period,period_start,period_end,subscription_start,subscription_end,invoice_id
subs_01KJAWDAMYTFDTM83HB3CTDQFV,cust_01KJAWDAJEJ3JQAR8N01B6ZWG3,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-02-12,2027-02-12,inv_01KMZYTY1G9Y25YJZ5FQHTE18X
subs_01KJDEJ387Y62N3GDMZAJZT0W9,cust_01KJDEJ35KC37CFCP62CEYSCC4,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-01-27,2027-01-27,inv_01KMZYVDS5BZZ7PY42A0GH8GZQ
subs_01KK2C8S0SKP1766YX07DAQ301,cust_01KK2C8RWX94RN2E795A2M9XWS,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-07-10,2026-07-10,
subs_01KK2C962RA6VHJXAACHK6MKE2,cust_01KK2C95YVCNWGXP7J18BMGAZV,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-10-01,2026-10-01,
subs_01KK2CFDMTDB7F4FAFEYTR71R8,cust_01KK2CFDGTEVDB60QJ1GTYSQN5,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-12-31,2026-12-31,inv_01KMZYX1E4XGEE0WJE1ZRN0QAP
subs_01KKERWQM1ZSV8ZXB28T40K45F,cust_01KFDDK40HG28C7T9Z654Z74C10,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-12-31,2026-12-31,inv_01KMZYX5X3YK8CMT2H4VKYXW05
subs_01KKETA45K4Y2A7FSFREXNN9ST,cust_01KFB8A3JHXNK8QVEZJ5WJ7KPK0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-09-25,2026-09-25,inv_01KMZYXZANYYZSYNK2861K3EMH
subs_01KKETAX8GGHXKGRH40K4VE2Y0,cust_01KFB8EDFF6371BF1D7ZCAWMVF0,plan_01KKEMG8P7KTJ71DFDJAMQE8NP,MONTHLY,2026-03-01,2026-03-30,2025-06-21,2026-06-21,inv_01KMZYYF4EKPGF9BYKGG1BB6X8
subs_01KKETBCTWMHEVCJCREF8CRVSW,cust_01KFB8A255R5FPF6TW0E0YSEH00,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-12-31,2026-12-31,inv_01KMZYYWKXQ5NX9FAJEEX4DDY6
subs_01KKETQ155S5MCJN1P6QDJMNMQ,cust_01KFBNPDQX4PK6ESXSCGX3SXB30,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-10-31,2026-10-31,inv_01KMZYZYA5NAFQQZ56XNMES5N5
subs_01KKEVX943D2GYCZKPXFRJSJ9P,cust_01KFBQXWW27Y1S6YYCVPV0504N0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-12-01,2026-12-01,inv_01KMZZ0BTYAJ3S12DJXJFSPN1K
subs_01KKEVYKGX7FCTR2FXXVWHB1N3,cust_01KFB8A6K3FQNTDR087VW6BNE20,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-01-21,2027-01-21,inv_01KMZZ16XBZVH9N7K39ZDR7NMC
subs_01KKEW2GPV8N0E8QPMHSYZ703N,cust_01KFB8AQA16XWTD7RCNSCH3NNG0,plan_01KKEN9WR84B7G6RG3N6ZZ7646,MONTHLY,2026-03-01,2026-03-30,2025-07-25,2026-07-25,
subs_01KKEW5QH4F69P1BCXF5KNQ4XX,cust_01KK2C8ZNEK2GXWSPW8F7TY35S,plan_01KKEN9WR84B7G6RG3N6ZZ7646,MONTHLY,2026-03-01,2026-03-30,2025-05-30,2026-05-30,
subs_01KKHHCJZZDKVP0EFT5VS8MSJ7,cust_01KKHFS13QATY0K13H2G1TYG9C,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-12-31,2026-12-31,inv_01KMZZ32N0SYZMP839VK658AS8
