customer_id,subscription_id,invoice_id,period_start,period_end,analytics_amount,invoice_subtotal,diff,invoice_generated
cust_01KH0FQ5Q5CXTH0YE3QE08H9MS,subs_01KH0FQ5W0TY3Y75CTVKJV1665,inv_01KJKBAPCG2JMBPD8J7SRPHPDN,2026-02-09T05:59:16Z,2026-03-01T00:00:00Z,1138.07,1138.07,0.00,true
cust_01KGZGGP9Z5N28MQK9XHEDTQXT,subs_01KGZGGPGAQGGEG7FNMXEWSFGD,inv_01KJKBBNAXYSWGSWRANCJGRZKD,2026-02-08T20:53:57Z,2026-03-01T00:00:00Z,14069.86,14069.86,0.00,true
cust_01KGVTD6S3Y2YG5JR6NJQHT7FB,subs_01KGVTD6Y14TEGMKY967CMKWGS,inv_01KJKEKGHJTZJD8AJAKKPEAGMD,2026-02-07T10:29:51Z,2026-03-01T00:00:00Z,1.11,1.12,-0.01,true
cust_01KGT0T17NY2SZBQKRBGSPHFER,subs_01KGT0T1E6KFCR132NF1MHDQ3B,inv_01KJKEKB994EHQ2EMDMK6YQJ86,2026-02-06T17:43:14Z,2026-03-01T00:00:00Z,717.72,717.73,-0.01,true
cust_01KGP9QF0AVCQ3KWGJMS5YJ4GE,subs_01KGP9QF7GQQM8D5ZDVHPTA7C3,inv_01KJKEK0V8Z4RJMX3TC1D6HBD5,2026-02-05T07:02:09Z,2026-03-01T00:00:00Z,45.40,45.41,-0.01,true
cust_01KGP96CN9HHMFXPSFDJWGKXK1,subs_01KGP96CTE8NWFATPWR1GDEX34,inv_01KJKEJYCXW6BPYF37JN8H8NPT,2026-02-05T06:52:50Z,2026-03-01T00:00:00Z,406.63,406.63,0.00,true
cust_01KGM89X7TBFHFSECGMZ7Y5GK2,subs_01KGM89XAG1VZW5NM1204K2THQ,inv_01KJKEKJKYP6Z1DXCZNFSZSRF1,2026-02-04T11:58:48Z,2026-03-01T00:00:00Z,0.04,0.04,0.00,true
cust_01KGKPVA93WBXBGP6P185MZ3G8,subs_01KGKPVAGV6K00DAQ5EBWQZCFG,inv_01KK9DSXJ7WR38RHNY99DXRBY9,2026-02-04T06:53:44Z,2026-03-01T00:00:00Z,2813.86,2813.87,-0.01,true
cust_01KGEK0XM6K3XW987BFXHXR920,subs_01KGEK0XTBAANNTDQW0P19NMHQ,inv_01KJKBDFXWV392NF8S7RH2V0TP,2026-02-02T07:10:41Z,2026-03-01T00:00:00Z,170.53,170.53,0.00,true
cust_01KGEJEHV0MSG3G7XZGZ8EGB3R,subs_01KGEJEJ2PANS9VWBC6249VRRJ,inv_01KJKEKYM7HKXJVNYH6XSR2VKF,2026-02-02T07:00:39Z,2026-03-01T00:00:00Z,1558.00,1557.99,0.01,true
