customer_id,subscription_id,invoice_id,period_start,period_end,analytics_amount,invoice_subtotal,diff,invoice_generated
cust_01KHDC05XA078Q3ZESAESNTKKS,subs_01KHDC05Y6FN9RMT6C0VXK6NXZ,inv_01KJKB6SSBX6K8PFMRMG9XMTTT,2026-02-14T00:00:00Z,2026-03-01T00:00:00Z,6.81,6.81,0,TRUE
cust_01KHAXKZ2EZE1V71EF5MRAMJAD,subs_01KHAXKZ3KF13H31NE0AMBB37B,inv_01KJKEJDK9Z6DYTEG2DZ00B6B0,2026-02-13T00:00:00Z,2026-03-01T00:00:00Z,21.69,21.69,0,TRUE
cust_01KH8WMG26WVZ25F1G6QYECE0W,subs_01KH8WMG339MWN5YPTPH724ENX,inv_01KJKBA5JRPDRZAPCAAAPE3FTN,2026-02-12T00:00:00Z,2026-03-01T00:00:00Z,0.01,0.01,0,TRUE
cust_01KH3JFC1STG5WKWT2TKKEM45W,subs_01KH3JFC2N0CGR0JCKY1KEYE8A,inv_01KJKB70WXS7HHFEANS7Y4TRKT,2026-02-10T00:00:00Z,2026-03-01T00:00:00Z,1219.75,1219.75,0,TRUE
cust_01KGTZT8N2ZS59J496RMD8Z91K,subs_01KGTZT8NZSRH23BS38Y9RJBRK,inv_01KJKBBP0X1ERAR0KGXKJFBMN2,2026-02-07T00:00:00Z,2026-03-01T00:00:00Z,0.3,0.3,0,TRUE
cust_01KGW0ESCHS7C0JHPREM05QNXC,subs_01KGW0ESDER1XYBPVM94JG48ZZ,inv_01KJKEJT63SC5DPHXR3PW71MXP,2026-02-07T00:00:00Z,2026-03-01T00:00:00Z,0.01,0.01,0,TRUE
cust_01KGKKQ32QWPNT36VX2D8FEBM6,subs_01KGKKQ33R6JM16Z3Z4F73CS07,inv_01KJKEJYZVC891F0MT3Y1J54M2,2026-02-04T00:00:00Z,2026-03-01T00:00:00Z,0.35,0.36,-0.01,TRUE
cust_01KGK6SFS88QE2M08ZMEQHY44M,subs_01KGK6SFT9DSRZY3QMV5CHG633,inv_01KJKEJZ5CB5WSF30HMPB3ZZNW,2026-02-04T00:00:00Z,2026-03-01T00:00:00Z,0.45,0.45,0,TRUE
cust_01KGHW6YBZ1RFPEKECB17G0XJM,subs_01KGHW6YCNCYQ0KH18TFF3J5XR,inv_01KJKBAWN0G4291RA5PNQ7PK2D,2026-02-03T00:00:00Z,2026-03-01T00:00:00Z,0.63,0.62,0.01,TRUE
cust_01KGFBAHZDGBC6VEDQEWH0DRCR,subs_01KGFBAJ0B887STNCXXXD2KB71,inv_01KJKB9YNDJJ0HH200GKPQRTSV,2026-02-02T00:00:00Z,2026-03-01T00:00:00Z,19.64,19.64,0,TRUE
cust_01KGBSM4X99XSGD5ZB14KFSQ50,subs_01KGBSM4Y3W0ZE6CFM06A36027,inv_01KJKBDP92X28CEV26BQ7A9BJB,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,0.92,0.92,0,TRUE
cust_01KFYWNHP22T5Q1904JCWQDNYZ,subs_01KFYWNHQ1DDDME83MPRV11998,inv_01KJKBD0SXMZAQA4N3YG50384H,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,8.17,8.17,0,TRUE
cust_01KFYRHCZYV0DXJQM3EEP0NH9A,subs_01KFYRHD0S69P6XWGFRV2BDSAM,inv_01KGB84B692TXR8NCDR4GN7ZYR,2026-01-27T00:00:00Z,2026-02-01T00:00:00Z,0.09,0.09,0,TRUE
cust_01KFXBDMK5PB1TA7J4DDYJ4XBV,subs_01KFXBDMM2YN0T470FP2E3EG3P,inv_01KGB84N8HF8V01RRN2SPFR5JH,2026-01-26T00:00:00Z,2026-02-01T00:00:00Z,1.68,1.68,0,TRUE
cust_01KFWVN3GYWC76B2A1KMKS8XKN,subs_01KFWVN3J1SGX5RVHAME9XER64,inv_01KGB84NB8SXJ93ZNSM8BYPEGK,2026-01-26T00:00:00Z,2026-02-01T00:00:00Z,0.99,0.99,0,TRUE
cust_01KFP070NAR9QTJAVKQ7Q6M3GQ,subs_01KFP070PC116Q7TGXS7PGP7H2,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,280902.72,,280902.72,FALSE
cust_01KFP070NAR9QTJAVKQ7Q6M3GQ,subs_01KFP070PC116Q7TGXS7PGP7H2,inv_01KGB83SGPV9YZ1X58CCT7NSS6,2026-01-23T00:00:00Z,2026-02-01T00:00:00Z,85708.08,3277.11,82430.97,TRUE
